index,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
23,Fireside Chat,Winter Warmer,355 ml,0.079,45,368,21st Amendment Brewery,San Francisco,CA
24,Marooned On Hog Island,American Stout,12 oz.,0.079,N/A,368,21st Amendment Brewery,San Francisco,CA
25,Bitter American,American Pale Ale (APA),12oz bottle,0.044,42,368,21st Amendment Brewery,San Francisco,CA
26,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12 oz.,0.049,17,368,21st Amendment Brewery,San Francisco,CA
27,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12 oz can,0.05%,17,368,21st Amendment Brewery,San Francisco,CA
28,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12 oz,0.049,17,368,21st Amendment Brewery,San Francisco,CA
29,21st Amendment IPA (2006),American IPA,355ml,0.07,70,368,21st Amendment Brewery,San Francisco,CA
30,Brew Free! or Die IPA (2008),American IPA,0.355L,0.07%,70,368,21st Amendment Brewery,San Francisco,CA
31,Brew Free! or Die IPA (2009),American IPA,12 ounce,0.07%,70,368,21st Amendment Brewery,San Francisco,CA
32,Special Edition: Allies Win The War!,English Strong Ale,12 oz,0.085,52,368,21st Amendment Brewery,San Francisco,CA
33,Hop Crisis,American Double / Imperial IPA,12oz bottle,0.097,94,368,21st Amendment Brewery,San Francisco,CA
34,Bitter American (2011),American Pale Ale (APA),355ml,0.044,42,368,21st Amendment Brewery,San Francisco,CA
35,Fireside Chat (2010),Winter Warmer,twelve ounce,0.08%,45,368,21st Amendment Brewery,San Francisco,CA
36,Back in Black,American Black Ale,twelve ounce,0.07%,65,368,21st Amendment Brewery,San Francisco,CA
37,Monk's Blood,Belgian Dark Ale,0.355L,0.083,35,368,21st Amendment Brewery,San Francisco,CA
38,Brew Free! or Die IPA,American IPA,twelve ounce,0.07,65,368,21st Amendment Brewery,San Francisco,CA
39,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,355 ml,0.049,17,368,21st Amendment Brewery,San Francisco,CA
40,Bimini Twist,American IPA,355ml,0.07,82,67,3 Daughters Brewing,St Petersburg,FL
41,Beach Blonde,American Blonde Ale,12oz bottle,0.05,N/A,67,3 Daughters Brewing,St Petersburg,FL
42,Rod Bender Red,American Amber / Red Ale,12 oz.,0.059,N/A,67,3 Daughters Brewing,St Petersburg,FL
43,Passion Fruit Prussia,Berliner Weissbier,12oz,0.035,11,60,4 Hands Brewing Company,Saint Louis,MO
44,Send Help,American Blonde Ale,12oz,0.05%,18,60,4 Hands Brewing Company,Saint Louis,MO
45,Cast Iron Oatmeal Brown,American Brown Ale,twelve ounce,0.06%,N/A,60,4 Hands Brewing Company,Saint Louis,MO
46,Reprise Centennial Red,American Amber / Red Ale,0.355L,0.06,N/A,60,4 Hands Brewing Company,Saint Louis,MO
47,Alter Ego,American Black Ale,12 oz can,0.06%,N/A,60,4 Hands Brewing Company,Saint Louis,MO
48,Divided Sky,American IPA,0.355 L,0.065,N/A,60,4 Hands Brewing Company,Saint Louis MO,
49,Resurrected,American IPA,355 ml,0.065,N/A,60,4 Hands Brewing Company,Saint Louis,MO
50,Contact High,American Pale Wheat Ale,0.355 L,0.05,28,60,4 Hands Brewing Company,Saint Louis,MO
51,Galaxyfest,American IPA,12 oz can,0.065,N/A,27,450 North Brewing Company,Columbus,IN
52,Citrafest,American IPA,0.355L,0.05,45,27,450 North Brewing Company,Columbus,IN
53,Barn Yeti,Belgian Strong Dark Ale,12 oz.,0.09,N/A,27,450 North Brewing Company,Columbus,IN
54,Scarecrow,American IPA,twelve ounce,0.069,65,27,450 North Brewing Company,Columbus,IN
55,Ironman,English Strong Ale,12 oz,0.09%,50,27,450 North Brewing Company,Columbus,IN
56,Honey Kolsch,Kölsch,twelve ounce,0.05%,15,27,450 North Brewing Company,Columbus,IN
57,Copperhead Amber,Belgian Dark Ale,355ml,0.05%,18,27,450 North Brewing Company,Columbus,IN
58,Rude Parrot IPA,American IPA,355 ml,0.059,75,481,7 Seas Brewing Company,Gig Harbor,WA
59,British Pale Ale (2010),English Pale Ale,12oz bottle,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA
60,British Pale Ale,English Pale Ale,355ml,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA
61,Ballz Deep Double IPA,American Double / Imperial IPA,12 oz.,0.084,82,481,7 Seas Brewing Company,Gig Harbor,WA
62,Wolfman's Berliner,Berliner Weissbier,12oz bottle,0.038,N/A,373,7venth Sun,Dunedin,FL
63,Colorado Native,American Amber / Red Lager,0.355 L,0.055,26,462,AC Golden Brewing Company,Golden,CO
64,Colorado Native (2011),American Amber / Red Lager,0.355L,0.055,26,462,AC Golden Brewing Company,Golden,CO
65,Jockamo IPA,American IPA,12 oz can,0.065,52,533,Abita Brewing Company,Abita Springs,LA
66,Purple Haze,Fruit / Vegetable Beer,355 ml,0.042,13,533,Abita Brewing Company,Abita Springs,LA
67,Abita Amber,American Amber / Red Lager,0.5L,0.045,17,533,Abita Brewing Company,Abita Springs,LA
68,Citra Ass Down,American IPA,12 ounce,0.082,68,62,Against The Grain Brewery,Louisville,KY
69,The Brown Note,American Brown Ale,twelve ounce,0.05,20,62,Against The Grain Brewery,Louisville,KY
70,Citra Ass Down,American Double / Imperial IPA,12 oz can,0.08,68,1,Against the Grain Brewery,Louisville,KY
71,London Balling,English Barleywine,twelve ounce,0.13%,80,1,Against the Grain Brewery,Louisville,KY
72,35 K,Milk / Sweet Stout,12 oz,0.077,25,1,Against the Grain Brewery,Louisville,KY
73,A Beer,American Pale Ale (APA),12 oz,0.042,42,1,Against the Grain Brewery,Louisville,KY
74,Rules are Rules,German Pilsener,12 ounce,0.05,25,1,Against the Grain Brewery,Louisville,KY
75,Flesh Gourd'n,Pumpkin Ale,12oz bottle,0.066,21,1,Against the Grain Brewery,Louisville,KY
76,Sho'nuff,Belgian Pale Ale,0.355L,0.04,13,1,Against the Grain Brewery,Louisville,KY
77,Bloody Show,American Pilsner,12 oz.,0.055,17,1,Against the Grain Brewery,Louisville,KY
78,Rico Sauvin,American Double / Imperial IPA,12 ounce,0.076,68,1,Against the Grain Brewery,Louisville,KY
79,Coq de la Marche,Saison / Farmhouse Ale,12oz bottle,0.05%,38,1,Against the Grain Brewery,Louisville,KY
80,Kamen Knuddeln,American Wild Ale,12 oz,0.07%,N/A,1,Against the Grain Brewery,Louisville,KY
81,Pile of Face,American IPA,355ml,0.06,65,1,Against the Grain Brewery,Louisville,KY
82,The Brown Note,English Brown Ale,12oz bottle,0.05,20,1,Against the Grain Brewery,Louisville,KY
83,Maylani's Coconut Stout,American Stout,twelve ounce,0.053,35,367,Airways Brewing Company,Kent,WA
84,Oatmeal PSA,American Pale Ale (APA),355 ml,0.05,35,367,Airways Brewing Company,Kent,WA
85,Pre Flight Pilsner,American Pilsner,12oz bottle,0.052,33,367,Airways Brewing Company,Kent,WA
86,P-Town Pilsner,American Pilsner,355ml,0.04,20,117,Alameda Brewing,Portland,OR
87,Klickitat Pale Ale,American Pale Ale (APA),twelve ounce,0.053,36,117,Alameda Brewing,Portland,OR
88,Yellow Wolf Imperial IPA,American Double / Imperial IPA,500ml,0.082,103,117,Alameda Brewing,Portland,OR
89,Freeride APA,American Pale Ale (APA),12 oz,0.053,40,270,Alaskan Brewing Company,Juneau,AK
90,Alaskan Amber,Altbier,0.355L,0.053,18,270,Alaskan Brewing Company,Juneau,AK
91,Hopalicious,American Pale Ale (APA),355ml,0.057,N/A,73,Ale Asylum,Madison WI,
92,Kentucky Kölsch,Kölsch,12 oz can,0.043,N/A,388,Alltech's Lexington Brewing Company,Lexington,KY
93,Kentucky IPA,American IPA,355 ml,0.065,N/A,388,Alltech's Lexington Brewing Company,Lexington,KY
94,Dusty Trail Pale Ale,American Pale Ale (APA),355 ml,0.054,N/A,401,Amnesia Brewing Company,Washougal,WA
95,Damnesia,American IPA,12 oz,0.062,N/A,401,Amnesia Brewing Company,Washougal,WA
96,Desolation IPA,American IPA,12 oz can,0.062,43,401,Amnesia Brewing Company,Washougal,WA
97,Liberty Ale,American IPA,twelve ounce,0.06%,N/A,35,Anchor Brewing Company,San Francisco,CA
98,IPA,American IPA,0.355 L,0.07%,N/A,35,Anchor Brewing Company,San Francisco,CA
99,Summer Wheat,American Pale Wheat Ale,12 ounce,0.05%,N/A,35,Anchor Brewing Company,San Francisco,CA
100,California Lager,American Amber / Red Lager,12 oz,0.049,N/A,35,Anchor Brewing Company,San Francisco,CA
101,Brotherhood Steam,California Common / Steam Beer,355 ml,0.06%,N/A,35,Anchor Brewing Company,San Francisco,CA
102,Blood Orange Gose,Gose,12 ounce,0.042,N/A,171,Anderson Valley Brewing Company,Boonville,CA
103,Keebarlin' Pale Ale,American Pale Ale (APA),0.355L,0.042,N/A,171,Anderson Valley Brewing Company,Boonville,CA
104,"the Kimmie, the Yink and the Holy Gose",Gose,355ml,0.05%,N/A,171,Anderson Valley Brewing Company,Boonville,CA
105,Fall Hornin',Pumpkin Ale,0.355 L,0.06,N/A,171,Anderson Valley Brewing Company,Boonville,CA
106,Barney Flats Oatmeal Stout,Oatmeal Stout,12oz bottle,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
107,Summer Solstice,Cream Ale,0.355L,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
108,Hop Ottin' IPA,American IPA,500ml,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
109,Boont Amber Ale,American Amber / Red Ale,0.355 L,0.06%,15,171,Anderson Valley Brewing Company,Boonville,CA
110,Barney Flats Oatmeal Stout,Oatmeal Stout,355 ml,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
111,El Steinber Dark Lager,Vienna Lager,0.355L,0.055,25,171,Anderson Valley Brewing Company,Boonville,CA
112,Boont Amber Ale (2010),American Amber / Red Ale,12 ounce,0.06%,15,171,Anderson Valley Brewing Company,Boonville,CA
113,Summer Solstice Cerveza Crema (2009),Cream Ale,0.355 L,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
114,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12 oz can,0.06%,13,171,Anderson Valley Brewing Company,Boonville,CA
115,Winter Solstice,Winter Warmer,12 ounce,0.07%,6,171,Anderson Valley Brewing Company,Boonville,CA
116,Hop Ottin' IPA (2011),American IPA,0.5 L,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
117,Boont Amber Ale (2011),American Amber / Red Ale,12 oz.,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA
118,Summer Solstice (2011),Cream Ale,355 ml,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
119,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),500ml,0.055,28,171,Anderson Valley Brewing Company,Boonville,CA
120,Charlie's Rye IPA,American IPA,12 ounce,0.06,N/A,146,Angry Minnow,Hayward,WI
121,River Pig Pale Ale,American Pale Ale (APA),0.355 L,0.05%,N/A,542,Angry Minnow Brewing Company,Hayward,WI
122,Oaky's Oatmeal Stout,Oatmeal Stout,12 ounce,0.05%,N/A,542,Angry Minnow Brewing Company,Hayward WI,
123,Angry Orchard Apple Ginger,Cider,355 ml,0.05,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
124,Angry Orchard Crisp Apple,Cider,twelve ounce,0.05%,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
125,Angry Orchard Crisp Apple,Cider,12 ounce,0.05,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
126,Golden One,Belgian Pale Ale,355ml,0.068,N/A,193,Anthem Brewing Company,Oklahoma City,OK
127,Arjuna,Witbier,355 ml,0.06,N/A,193,Anthem Brewing Company,Oklahoma City,OK
128,Uroboros,American Stout,12 oz can,0.09%,N/A,193,Anthem Brewing Company,Oklahoma City,OK
129,Long Leaf,American IPA,355 ml,0.071,75,69,Appalachian Mountain Brewery,Boone,NC
130,Honey Badger Blonde,American Blonde Ale,12 ounce,0.047,19,69,Appalachian Mountain Brewery,Boone,NC
131,Porter (a/k/a Black Gold Porter),American Porter,12 oz,0.06,23,69,Appalachian Mountain Brewery,Boone,NC
132,Sky High Rye,American Pale Ale (APA),12oz,0.06%,55,541,Arcadia Brewing Company,Battle Creek,MI
133,Whitsun,American Pale Wheat Ale,0.355L,0.062,17,541,Arcadia Brewing Company,Battle Creek,MI
134,On-On Ale (2008),American Pale Ale (APA),0.355L,0.052,N/A,513,Arctic Craft Brewery,Colorado Springs,CO
135,Quakertown Stout,American Double / Imperial Stout,400 ml,0.092,50,426,Armadillo Ale Works,Denton TX,
136,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12 oz.,0.05%,20,426,Armadillo Ale Works,Denton,TX
137,Mo's Gose,Gose,355ml,0.052,10,461,Armstrong Brewing Company,South San Francisco,CA
138,Green Bullet Organic India Pale Ale,American IPA,0.355 L,0.07,45,429,Asher Brewing Company,Boulder,CO
139,Rocket Girl,Kölsch,12 oz can,0.032,27,528,Asheville Brewing Company,Asheville,NC
140,Ninja Porter,American Porter,355ml,0.053,26,528,Asheville Brewing Company,Asheville NC,
141,Shiva IPA,American IPA,twelve ounce,0.06,69,528,Asheville Brewing Company,Asheville,NC
142,Aslan Kölsch,Kölsch,12oz,0.048,N/A,353,Aslan Brewing Company,Bellingham,WA
143,Aslan IPA,American IPA,355 ml,0.077,N/A,353,Aslan Brewing Company,Bellingham,WA
144,Aslan Amber,American Amber / Red Ale,12oz bottle,0.077,N/A,353,Aslan Brewing Company,Bellingham,WA
145,This Season's Blonde,American Blonde Ale,12 oz,0.056,27,523,Aspen Brewing Company,Aspen,CO
146,Independence Pass Ale,American IPA,500ml,0.07%,67,523,Aspen Brewing Company,Aspen,CO
147,Trolley Stop Stout,American Stout,12 oz can,0.057,40,374,Astoria Brewing Company,Astoria,OR
148,Bitter Bitch Imperial IPA,American Double / Imperial IPA,0.355L,0.08%,138,374,Astoria Brewing Company,Astoria,OR
149,Poop Deck Porter,American Porter,0.355L,0.062,35,374,Astoria Brewing Company,Astoria,OR
150,Old Red Beard Amber Ale,American Amber / Red Ale,12 oz can,0.06,35,374,Astoria Brewing Company,Astoria,OR
151,Hop A-Peel,American Double / Imperial IPA,400 ml,0.075,115,72,Atwater Brewery,Detroit,MI
152,Vanilla Java Porter,American Porter,355 ml,0.06%,12,72,Atwater Brewery,Detroit,MI
153,Michelada,Fruit / Vegetable Beer,12 ounce,0.052,N/A,72,Atwater Brewery,Detroit,MI
154,Dirty Blonde Ale,American Blonde Ale,355ml,0.045,8,72,Atwater Brewery,Detroit,MI
155,Grand Circus IPA,American IPA,355 ml,0.05%,62,72,Atwater Brewery,Detroit,MI
156,Atwater's Lager,Munich Helles Lager,12 oz can,0.05,12,72,Atwater Brewery,Detroit MI,
157,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,330 ml,0.07,N/A,413,Austin Beerworks,Austin,TX
158,Fire Eagle IPA,American IPA,twelve ounce,0.06%,N/A,413,Austin Beerworks,Austin,TX
159,Peacemaker,American Pale Ale (APA),12 ounce,0.051,N/A,413,Austin Beerworks,Austin,TX
160,Pearl-Snap,German Pilsener,355 ml,0.053,N/A,413,Austin Beerworks,Austin,TX
161,Black Thunder,Schwarzbier,0.355 L,0.052,N/A,413,Austin Beerworks,Austin,TX
162,Raja,American Double / Imperial IPA,twelve ounce,0.08%,N/A,37,Avery Brewing Company,Boulder,CO
163,Perzik Saison,Saison / Farmhouse Ale,twelve ounce,0.064,N/A,37,Avery Brewing Company,Boulder,CO
164,Avery Joe’s Premium American Pilsner,German Pilsener,12oz,0.047,42,37,Avery Brewing Company,Boulder,CO
165,White Rascal,Witbier,0.355L,0.056,10,37,Avery Brewing Company,Boulder,CO
166,Avery India Pale Ale,American IPA,12 oz,0.063,69,37,Avery Brewing Company,Boulder,CO
167,Ellie’s Brown Ale,American Brown Ale,355ml,0.055,17,37,Avery Brewing Company,Boulder,CO
168,Pumpkin Beast,Pumpkin Ale,12oz bottle,0.062,17,360,Aviator Brewing Company,Fuquay-Varina,NC
169,OktoberBeast,Märzen / Oktoberfest,12 oz.,0.072,22,360,Aviator Brewing Company,Fuquay-Varina,NC
170,Mad Beach,American Pale Wheat Ale,0.355 L,0.05%,23,360,Aviator Brewing Company,Fuquay-Varina,NC
171,Hog Wild India Pale Ale,American IPA,12 ounce,0.067,N/A,360,Aviator Brewing Company,Fuquay-Varina,NC
172,Devils Tramping Ground Tripel,Tripel,twelve ounce,0.092,5,360,Aviator Brewing Company,Fuquay-Varina,NC
173,Hot Rod Red,American Amber / Red Ale,12 oz.,0.061,41,360,Aviator Brewing Company,Fuquay-Varina,NC
174,Palate Mallet,American Double / Imperial IPA,12oz,0.086,N/A,235,Back East Brewing Company,Bloomfield,CT
175,Back East Porter,American Porter,0.355L,0.06,N/A,235,Back East Brewing Company,Bloomfield,CT
176,Back East Golden Ale,American Blonde Ale,0.355L,0.05%,N/A,235,Back East Brewing Company,Bloomfield,CT
177,Misty Mountain IPA,American IPA,400ml,0.07,N/A,235,Back East Brewing Company,Bloomfield,CT
178,Back East Ale,American Amber / Red Ale,355ml,0.05,N/A,235,Back East Brewing Company,Bloomfield,CT
179,Truck Stop Honey Brown Ale,English Brown Ale,12 oz.,0.06%,N/A,286,Back Forty Beer Company,Gadsden,AL
180,Naked Pig Pale Ale,American Pale Ale (APA),355ml,0.06%,43,286,Back Forty Beer Company,Gadsden,AL
181,Topcutter India Pale Ale,American IPA,0.355 L,0.068,70,483,Bale Breaker Brewing Company,Yakima,WA
182,Field 41 Pale Ale,American Pale Ale (APA),355ml,0.04%,38,483,Bale Breaker Brewing Company,Yakima,WA
183,Grapefruit Sculpin,American IPA,12 oz.,0.07%,N/A,34,Ballast Point Brewing Company,San Diego,CA
184,Even Keel,American IPA,12oz bottle,0.04%,40,34,Ballast Point Brewing Company,San Diego CA,
185,Ballast Point Pale Ale,Kölsch,12 oz can,0.05%,23,34,Ballast Point Brewing Company,San Diego,CA
186,Big Eye India Pale Ale,American IPA,12 oz.,0.07,75,34,Ballast Point Brewing Company,San Diego,CA
187,Longfin Lager,Munich Helles Lager,12 oz.,0.046,N/A,34,Ballast Point Brewing Company,San Diego,CA
188,Sculpin IPA,American IPA,355 ml,0.07,70,34,Ballast Point Brewing Company,San Diego,CA
189,All Nighter Ale,Extra Special / Strong Bitter (ESB),0.355 L,0.045,N/A,318,Banner Beer Company,Williamsburg,MA
190,Banner American Rye,Rye Beer,0.355 L,0.05%,20,318,Banner Beer Company,Williamsburg,MA
191,Banner American Ale,American Amber / Red Ale,0.355L,0.035,45,318,Banner Beer Company,Williamsburg,MA
192,Thai.p.a,American IPA,355 ml,0.07,46,20,Bare Hands Brewery,Granger,IN
193,Barrio Blanco,American IPA,12 ounce,0.06,60,251,Barrio Brewing Company,Tucson,AZ
194,Barrio Tucson Blonde,American Blonde Ale,355ml,0.045,N/A,251,Barrio Brewing Company,Tucson,AZ
195,Hop in the ‘Pool Helles,American Pilsner,12 oz,0.05%,22,116,Base Camp Brewing Co.,Portland,OR
196,Ultra Gnar Gnar IPA,American IPA,12 oz can,0.067,60,116,Base Camp Brewing Co.,Portland,OR
197,In-Tents India Pale Lager,American Pale Lager,twelve ounce,0.068,62,116,Base Camp Brewing Co.,Portland,OR
198,Lost Meridian Wit,Witbier,16 oz,0.05,20,116,Base Camp Brewing Co.,Portland,OR
199,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12oz,0.051,45,116,Base Camp Brewing Co.,Portland,OR
200,Wagon Party,California Common / Steam Beer,twelve ounce,0.054,55,258,Bauhaus Brew Labs,Minneapolis,MN
201,Sky-Five,American IPA,twelve ounce,0.07%,70,258,Bauhaus Brew Labs,Minneapolis,MN
202,Stargrazer,Schwarzbier,355ml,0.05,28,258,Bauhaus Brew Labs,Minneapolis,MN
203,Wonderstuff,German Pilsener,12 oz can,0.054,48,258,Bauhaus Brew Labs,Minneapolis,MN
204,Tarnation California-Style Lager,California Common / Steam Beer,12 ounce,0.053,N/A,292,Baxter Brewing Company,Lewiston,ME
205,On the Count of 3 (2015),Hefeweizen,12oz bottle,0.07%,42,292,Baxter Brewing Company,Lewiston,ME
206,Summer Swelter,American Pale Wheat Ale,12oz bottle,0.047,N/A,292,Baxter Brewing Company,Lewiston,ME
207,Phantom Punch Winter Stout,Foreign / Export Stout,12 oz,0.068,N/A,292,Baxter Brewing Company,Lewiston,ME
208,Hayride Autumn Ale,Rye Beer,12 oz.,0.066,N/A,292,Baxter Brewing Company,Lewiston,ME
209,Celsius Summer Ale (2012),American Pale Wheat Ale,0.355L,0.047,N/A,292,Baxter Brewing Company,Lewiston,ME
210,Amber Road,American Amber / Red Ale,12 oz,0.055,35,292,Baxter Brewing Company,Lewiston,ME
211,Pamola Xtra Pale Ale,American Pale Ale (APA),12 oz,0.05%,28,292,Baxter Brewing Company,Lewiston,ME
212,Stowaway IPA,American IPA,12 oz,0.069,69,292,Baxter Brewing Company,Lewiston,ME
213,Hoptopus Double IPA,American Double / Imperial IPA,twelve ounce,0.088,108,306,Beach Brewing Company,Virginia Beach,VA
214,Watermelon Ale,Fruit / Vegetable Beer,16 oz,0.05,10,103,Beer Works Brewery,Lowell,MA
215,Fenway American Pale Ale,American Pale Ale (APA),twelve ounce,0.06%,45,103,Beer Works Brewery,Lowell,MA
216,Back Bay IPA,American IPA,0.355L,0.07%,85,103,Beer Works Brewery,Lowell,MA
217,Bunker Hill Blueberry Ale,Other,12 oz.,0.048,16,103,Beer Works Brewery,Lowell,MA
218,Oberon,American Pale Wheat Ale,12oz bottle,0.06%,N/A,76,Bell's Brewery,Kalamazoo,MI
219,Smitten,Rye Beer,twelve ounce,0.06%,N/A,76,Bell's Brewery,Kalamazoo,MI
220,Winter White,Witbier,12oz,0.05,N/A,76,Bell's Brewery,Kalamazoo,MI
221,Oberon,American Pale Wheat Ale,355 ml,0.058,N/A,76,Bell's Brewery,Kalamazoo,MI
222,Two Hearted,American IPA,0.355 L,0.07,N/A,76,Bell's Brewery,Kalamazoo,MI
223,Best Brown,American Brown Ale,12 oz can,0.058,N/A,76,Bell's Brewery,Kalamazoo,MI
224,Moar,English India Pale Ale (IPA),12.0 oz.,0.044,44,53,Bent Brewstillery,Roseville,MN
225,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0 ounce,0.083,N/A,53,Bent Brewstillery,Roseville,MN
226,Nordic Blonde,American Blonde Ale,12.0 oz.,0.06%,27,53,Bent Brewstillery,Roseville,MN
227,Cold Press,American Black Ale,12.0 OZ.,0.06,N/A,75,Bent Paddle Brewing Company,Duluth,MN
228,Harness the Winter,American IPA,12.0 oz.,0.072,87,75,Bent Paddle Brewing Company,Duluth,MN
229,14° ESB,Extra Special / Strong Bitter (ESB),12.0 ounce,0.056,32,75,Bent Paddle Brewing Company,Duluth,MN
230,Bent Hop Golden IPA,American IPA,12.0 oz.,0.062,68,75,Bent Paddle Brewing Company,Duluth,MN
231,Bent Paddle Black Ale,American Black Ale,12.0 oz.,0.06%,34,75,Bent Paddle Brewing Company,Duluth MN,
232,Venture Pils,German Pilsener,12.0 oz.,0.05,38,75,Bent Paddle Brewing Company,Duluth,MN
233,Lost Sailor IPA,English India Pale Ale (IPA),12.0 ounce,0.055,40,278,Berkshire Brewing Company,South Deerfield,MA
234,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0 oz,0.053,20,278,Berkshire Brewing Company,South Deerfield,MA
235,La Frontera Premium IPA,American IPA,12.0 oz.,0.08%,N/A,463,Big Bend Brewing Company,Alpine,TX
236,Tejas Lager,Czech Pilsener,12.0 oz.,0.05%,N/A,463,Big Bend Brewing Company,Alpine,TX
237,Number 22 Porter,American Porter,12.0 oz,0.064,N/A,463,Big Bend Brewing Company,Alpine,TX
238,Big Bend Hefeweizen,Hefeweizen,12.0 oz,0.06%,N/A,463,Big Bend Brewing Company,Alpine,TX
239,Terlingua Gold,American Blonde Ale,12.0 OZ.,0.06,N/A,463,Big Bend Brewing Company,Alpine,TX
240,Aprè Shred,American Strong Ale,16.0 oz. Alumi-Tek,0.081,17,220,Big Choice Brewing,Broomfield,CO
241,Hemlock Double IPA,American Double / Imperial IPA,12.0 ounce,0.10%,104,220,Big Choice Brewing,Broomfield,CO
242,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0 oz.,0.041,N/A,220,Big Choice Brewing,Broomfield,CO
243,Disconnected Red,American Amber / Red Ale,16.0 oz,0.067,85,220,Big Choice Brewing,Broomfield,CO
244,Big Elm IPA,American IPA,12.0 ounce,0.07%,N/A,477,Big Elm Brewing,Sheffield,MA
245,Gerry Dog Stout,American Stout,12.0 OZ.,0.065,N/A,477,Big Elm Brewing,Sheffield,MA
246,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0 ounce,0.06,N/A,477,Big Elm Brewing,Sheffield,MA
247,Dark Star,American Stout,16.0 oz.,0.08,54,8,Big Lake Brewing,Holland,MI
248,Ryecoe,American IPA,16.0 ounce,0.062,N/A,8,Big Lake Brewing,Holland,MI
249,Blueberry Blonde,Fruit / Vegetable Beer,12.0 oz.,0.06,N/A,40,Big Muddy Brewing,Murphysboro,IL
250,Galaxy IPA,American IPA,16.0 oz.,0.075,60,40,Big Muddy Brewing,Murphysboro,IL
251,Big River Pilsner,Czech Pilsener,12.0 oz.,0.05,32,519,Big River Brewing Company,Chattanooga,TN
