beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Uroboros,American Stout,12,0.09%,N/A,193,Anthem Brewing Company,Oklahoma City,OK
Long Leaf,American IPA,12,0.071,75,69,Appalachian Mountain Brewery,Boone,NC
Honey Badger Blonde,American Blonde Ale,12,0.047,19,69,Appalachian Mountain Brewery,Boone,NC
Porter (a/k/a Black Gold Porter),American Porter,12,0.06,23,69,Appalachian Mountain Brewery,Boone,NC
Sky High Rye,American Pale Ale (APA),12,0.06%,55,541,Arcadia Brewing Company,Battle Creek,MI
Whitsun,American Pale Wheat Ale,12,0.062,17,541,Arcadia Brewing Company,Battle Creek,MI
On-On Ale (2008),American Pale Ale (APA),12,0.052,N/A,513,Arctic Craft Brewery,Colorado Springs,CO
Quakertown Stout,American Double / Imperial Stout,13.5,0.092,50,426,Armadillo Ale Works,Denton TX,
Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12,0.05%,20,426,Armadillo Ale Works,Denton,TX
Mo's Gose,Gose,12,0.052,10,461,Armstrong Brewing Company,South San Francisco,CA
Green Bullet Organic India Pale Ale,American IPA,12,0.07,45,429,Asher Brewing Company,Boulder,CO
Rocket Girl,Kölsch,12,0.032,27,528,Asheville Brewing Company,Asheville,NC
Ninja Porter,American Porter,12,0.053,26,528,Asheville Brewing Company,Asheville NC,
Shiva IPA,American IPA,12,0.06,69,528,Asheville Brewing Company,Asheville,NC
Aslan Kölsch,Kölsch,12,0.048,N/A,353,Aslan Brewing Company,Bellingham,WA
Aslan IPA,American IPA,12,0.077,N/A,353,Aslan Brewing Company,Bellingham,WA
Aslan Amber,American Amber / Red Ale,12,0.077,N/A,353,Aslan Brewing Company,Bellingham,WA
This Season's Blonde,American Blonde Ale,12,0.056,27,523,Aspen Brewing Company,Aspen,CO
Independence Pass Ale,American IPA,16.9,0.07%,67,523,Aspen Brewing Company,Aspen,CO
Trolley Stop Stout,American Stout,12,0.057,40,374,Astoria Brewing Company,Astoria,OR
Bitter Bitch Imperial IPA,American Double / Imperial IPA,12,0.08%,138,374,Astoria Brewing Company,Astoria,OR
Poop Deck Porter,American Porter,12,0.062,35,374,Astoria Brewing Company,Astoria,OR
Old Red Beard Amber Ale,American Amber / Red Ale,12,0.06,35,374,Astoria Brewing Company,Astoria,OR
Hop A-Peel,American Double / Imperial IPA,13.5,0.075,115,72,Atwater Brewery,Detroit,MI
Vanilla Java Porter,American Porter,12,0.06%,12,72,Atwater Brewery,Detroit,MI
Michelada,Fruit / Vegetable Beer,12,0.052,N/A,72,Atwater Brewery,Detroit,MI
Dirty Blonde Ale,American Blonde Ale,12,0.045,8,72,Atwater Brewery,Detroit,MI
Grand Circus IPA,American IPA,12,0.05%,62,72,Atwater Brewery,Detroit,MI
Atwater's Lager,Munich Helles Lager,12,0.05,12,72,Atwater Brewery,Detroit MI,
Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,11.2,0.07,N/A,413,Austin Beerworks,Austin,TX
Fire Eagle IPA,American IPA,12,0.06%,N/A,413,Austin Beerworks,Austin,TX
Peacemaker,American Pale Ale (APA),12,0.051,N/A,413,Austin Beerworks,Austin,TX
Pearl-Snap,German Pilsener,12,0.053,N/A,413,Austin Beerworks,Austin,TX
Black Thunder,Schwarzbier,12,0.052,N/A,413,Austin Beerworks,Austin,TX
Raja,American Double / Imperial IPA,12,0.08%,N/A,37,Avery Brewing Company,Boulder,CO
Perzik Saison,Saison / Farmhouse Ale,12,0.064,N/A,37,Avery Brewing Company,Boulder,CO
Avery Joe’s Premium American Pilsner,German Pilsener,12,0.047,42,37,Avery Brewing Company,Boulder,CO
White Rascal,Witbier,12,0.056,10,37,Avery Brewing Company,Boulder,CO
Avery India Pale Ale,American IPA,12,0.063,69,37,Avery Brewing Company,Boulder,CO
Ellie’s Brown Ale,American Brown Ale,12,0.055,17,37,Avery Brewing Company,Boulder,CO
Pumpkin Beast,Pumpkin Ale,12,0.062,17,360,Aviator Brewing Company,Fuquay-Varina,NC
OktoberBeast,Märzen / Oktoberfest,12,0.072,22,360,Aviator Brewing Company,Fuquay-Varina,NC
Mad Beach,American Pale Wheat Ale,12,0.05%,23,360,Aviator Brewing Company,Fuquay-Varina,NC
Hog Wild India Pale Ale,American IPA,12,0.067,N/A,360,Aviator Brewing Company,Fuquay-Varina,NC
Devils Tramping Ground Tripel,Tripel,12,0.092,5,360,Aviator Brewing Company,Fuquay-Varina,NC
Hot Rod Red,American Amber / Red Ale,12,0.061,41,360,Aviator Brewing Company,Fuquay-Varina,NC
Palate Mallet,American Double / Imperial IPA,12,0.086,N/A,235,Back East Brewing Company,Bloomfield,CT
Back East Porter,American Porter,12,0.06,N/A,235,Back East Brewing Company,Bloomfield,CT
Back East Golden Ale,American Blonde Ale,12,0.05%,N/A,235,Back East Brewing Company,Bloomfield,CT
Misty Mountain IPA,American IPA,13.5,0.07,N/A,235,Back East Brewing Company,Bloomfield,CT
Back East Ale,American Amber / Red Ale,12,0.05,N/A,235,Back East Brewing Company,Bloomfield,CT
Truck Stop Honey Brown Ale,English Brown Ale,12,0.06%,N/A,286,Back Forty Beer Company,Gadsden,AL
Naked Pig Pale Ale,American Pale Ale (APA),12,0.06%,43,286,Back Forty Beer Company,Gadsden,AL
Topcutter India Pale Ale,American IPA,12,0.068,70,483,Bale Breaker Brewing Company,Yakima,WA
Field 41 Pale Ale,American Pale Ale (APA),12,0.04%,38,483,Bale Breaker Brewing Company,Yakima,WA
Grapefruit Sculpin,American IPA,12,0.07%,N/A,34,Ballast Point Brewing Company,San Diego,CA
Even Keel,American IPA,12,0.04%,40,34,Ballast Point Brewing Company,San Diego CA,
Ballast Point Pale Ale,Kölsch,12,0.05%,23,34,Ballast Point Brewing Company,San Diego,CA
Big Eye India Pale Ale,American IPA,12,0.07,75,34,Ballast Point Brewing Company,San Diego,CA
Longfin Lager,Munich Helles Lager,12,0.046,N/A,34,Ballast Point Brewing Company,San Diego,CA
Sculpin IPA,American IPA,12,0.07,70,34,Ballast Point Brewing Company,San Diego,CA
All Nighter Ale,Extra Special / Strong Bitter (ESB),12,0.045,N/A,318,Banner Beer Company,Williamsburg,MA
Banner American Rye,Rye Beer,12,0.05%,20,318,Banner Beer Company,Williamsburg,MA
Banner American Ale,American Amber / Red Ale,12,0.035,45,318,Banner Beer Company,Williamsburg,MA
Thai.p.a,American IPA,12,0.07,46,20,Bare Hands Brewery,Granger,IN
Barrio Blanco,American IPA,12,0.06,60,251,Barrio Brewing Company,Tucson,AZ
Barrio Tucson Blonde,American Blonde Ale,12,0.045,N/A,251,Barrio Brewing Company,Tucson,AZ
Hop in the ‘Pool Helles,American Pilsner,12,0.05%,22,116,Base Camp Brewing Co.,Portland,OR
Ultra Gnar Gnar IPA,American IPA,12,0.067,60,116,Base Camp Brewing Co.,Portland,OR
In-Tents India Pale Lager,American Pale Lager,12,0.068,62,116,Base Camp Brewing Co.,Portland,OR
Lost Meridian Wit,Witbier,16,0.05,20,116,Base Camp Brewing Co.,Portland,OR
Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12,0.051,45,116,Base Camp Brewing Co.,Portland,OR
Wagon Party,California Common / Steam Beer,12,0.054,55,258,Bauhaus Brew Labs,Minneapolis,MN
Sky-Five,American IPA,12,0.07%,70,258,Bauhaus Brew Labs,Minneapolis,MN
Stargrazer,Schwarzbier,12,0.05,28,258,Bauhaus Brew Labs,Minneapolis,MN
Wonderstuff,German Pilsener,12,0.054,48,258,Bauhaus Brew Labs,Minneapolis,MN
Tarnation California-Style Lager,California Common / Steam Beer,12,0.053,N/A,292,Baxter Brewing Company,Lewiston,ME
On the Count of 3 (2015),Hefeweizen,12,0.07%,42,292,Baxter Brewing Company,Lewiston,ME
Summer Swelter,American Pale Wheat Ale,12,0.047,N/A,292,Baxter Brewing Company,Lewiston,ME
Phantom Punch Winter Stout,Foreign / Export Stout,12,0.068,N/A,292,Baxter Brewing Company,Lewiston,ME
Hayride Autumn Ale,Rye Beer,12,0.066,N/A,292,Baxter Brewing Company,Lewiston,ME
Celsius Summer Ale (2012),American Pale Wheat Ale,12,0.047,N/A,292,Baxter Brewing Company,Lewiston,ME
Amber Road,American Amber / Red Ale,12,0.055,35,292,Baxter Brewing Company,Lewiston,ME
Pamola Xtra Pale Ale,American Pale Ale (APA),12,0.05%,28,292,Baxter Brewing Company,Lewiston,ME
Stowaway IPA,American IPA,12,0.069,69,292,Baxter Brewing Company,Lewiston,ME
Hoptopus Double IPA,American Double / Imperial IPA,12,0.088,108,306,Beach Brewing Company,Virginia Beach,VA
Watermelon Ale,Fruit / Vegetable Beer,16,0.05,10,103,Beer Works Brewery,Lowell,MA
Fenway American Pale Ale,American Pale Ale (APA),12,0.06%,45,103,Beer Works Brewery,Lowell,MA
Back Bay IPA,American IPA,12,0.07%,85,103,Beer Works Brewery,Lowell,MA
Bunker Hill Blueberry Ale,Other,12,0.048,16,103,Beer Works Brewery,Lowell,MA
Oberon,American Pale Wheat Ale,12,0.06%,N/A,76,Bell's Brewery,Kalamazoo,MI
Smitten,Rye Beer,12,0.06%,N/A,76,Bell's Brewery,Kalamazoo,MI
Winter White,Witbier,12,0.05,N/A,76,Bell's Brewery,Kalamazoo,MI
Oberon,American Pale Wheat Ale,12,0.058,N/A,76,Bell's Brewery,Kalamazoo,MI
Two Hearted,American IPA,12,0.07,N/A,76,Bell's Brewery,Kalamazoo,MI
Best Brown,American Brown Ale,12,0.058,N/A,76,Bell's Brewery,Kalamazoo,MI
Moar,English India Pale Ale (IPA),12,0.044,44,53,Bent Brewstillery,Roseville,MN
Uber Lupin Schwarz IPA,American Double / Imperial IPA,12,0.083,N/A,53,Bent Brewstillery,Roseville,MN
Nordic Blonde,American Blonde Ale,12,0.06%,27,53,Bent Brewstillery,Roseville,MN
Cold Press,American Black Ale,11.2,0.06,N/A,75,Bent Paddle Brewing Company,Duluth,MN
Harness the Winter,American IPA,16.9,0.072,87,75,Bent Paddle Brewing Company,Duluth,MN
14° ESB,Extra Special / Strong Bitter (ESB),12,0.056,32,75,Bent Paddle Brewing Company,Duluth,MN
Bent Hop Golden IPA,American IPA,12,0.062,68,75,Bent Paddle Brewing Company,Duluth,MN
Bent Paddle Black Ale,American Black Ale,12,0.06%,34,75,Bent Paddle Brewing Company,Duluth MN,
Venture Pils,German Pilsener,12,0.05,38,75,Bent Paddle Brewing Company,Duluth,MN
Lost Sailor IPA,English India Pale Ale (IPA),12,0.055,40,278,Berkshire Brewing Company,South Deerfield,MA
Steel Rail Extra Pale Ale,American Pale Ale (APA),12,0.053,20,278,Berkshire Brewing Company,South Deerfield,MA
La Frontera Premium IPA,American IPA,12,0.08%,N/A,463,Big Bend Brewing Company,Alpine,TX
Tejas Lager,Czech Pilsener,12,0.05%,N/A,463,Big Bend Brewing Company,Alpine,TX
Number 22 Porter,American Porter,12,0.064,N/A,463,Big Bend Brewing Company,Alpine,TX
Big Bend Hefeweizen,Hefeweizen,12,0.06%,N/A,463,Big Bend Brewing Company,Alpine,TX
Terlingua Gold,American Blonde Ale,12,0.06,N/A,463,Big Bend Brewing Company,Alpine,TX
Aprè Shred,American Strong Ale,12,0.081,17,220,Big Choice Brewing,Broomfield,CO
Hemlock Double IPA,American Double / Imperial IPA,11.2,0.10%,104,220,Big Choice Brewing,Broomfield,CO
West Portal Colorado Common Summer Ale,California Common / Steam Beer,12,0.041,N/A,220,Big Choice Brewing,Broomfield,CO
Disconnected Red,American Amber / Red Ale,12,0.067,85,220,Big Choice Brewing,Broomfield,CO
Big Elm IPA,American IPA,12,0.07%,N/A,477,Big Elm Brewing,Sheffield,MA
Gerry Dog Stout,American Stout,12,0.065,N/A,477,Big Elm Brewing,Sheffield,MA
413 Farmhouse Ale,Saison / Farmhouse Ale,12,0.06,N/A,477,Big Elm Brewing,Sheffield,MA
Dark Star,American Stout,12,0.08,54,8,Big Lake Brewing,Holland,MI
Ryecoe,American IPA,12,0.062,N/A,8,Big Lake Brewing,Holland,MI
Blueberry Blonde,Fruit / Vegetable Beer,12,0.06,N/A,40,Big Muddy Brewing,Murphysboro,IL
Galaxy IPA,American IPA,12,0.075,60,40,Big Muddy Brewing,Murphysboro,IL
Big River Pilsner,Czech Pilsener,12,0.05,32,519,Big River Brewing Company,Chattanooga,TN
House Brand IPA,American IPA,12,0.06,55,519,Big River Brewing Company,Chattanooga,TN
Big Sky IPA,American IPA,12,0.062,65,336,Big Sky Brewing Company,Missoula,MT
Scape Goat Pale Ale,English Pale Ale,12,0.05%,40,336,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale,American Pale Wheat Ale,12,0.05,35,336,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale,American Brown Ale,12,0.051,26,336,Big Sky Brewing Company,Missoula,MT
Powder Hound Winter Ale,English Strong Ale,12,0.072,60,336,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale (2011),American Brown Ale,12,0.051,26,336,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale (2012),American Pale Wheat Ale,13.5,0.05,35,336,Big Sky Brewing Company,Missoula,MT
Big Sky IPA (2012),American IPA,12,0.062,65,336,Big Sky Brewing Company,Missoula,MT
Summer Honey,American Blonde Ale,12,0.047,N/A,336,Big Sky Brewing Company,Missoula,MT
Scape Goat Pale Ale (2010),English Pale Ale,12,0.05,40,336,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12,0.05,35,336,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale (2009),American Brown Ale,12,0.05%,26,336,Big Sky Brewing Company,Missoula,MT
Arcus IPA,American IPA,12,0.069,81,221,Big Storm Brewing Company,Odessa,FL
Wavemaker,American Amber / Red Ale,12,0.06%,38,221,Big Storm Brewing Company,Odessa,FL
Jack Pine Savage,American Pale Ale (APA),12,0.053,43,444,Big Wood Brewery,Vadnais Heights,MN
Forest Fire Imperial Smoked Rye,Rye Beer,12,0.10%,85,444,Big Wood Brewery,Vadnais Heights,MN
Bad Axe Imperial IPA,American Double / Imperial IPA,12,0.098,76,444,Big Wood Brewery,Vadnais Heights,MN
Morning Wood,Oatmeal Stout,16.9,0.055,35,444,Big Wood Brewery,Vadnais Heights,MN
Bark Bite IPA,American IPA,12,0.066,50,444,Big Wood Brewery,Vadnais Heights,MN
Jalapeno Pale Ale,American Pale Ale (APA),12,0.055,45,70,Birdsong Brewing Company,Charlotte,NC
Blown Out Brown,American Brown Ale,12,0.052,N/A,407,Bitter Root Brewing,Hamilton,MT
Single Hop Ale,American Pale Ale (APA),12,0.063,N/A,407,Bitter Root Brewing,Hamilton,MT
Sawtooth Ale,American Blonde Ale,12,0.054,N/A,407,Bitter Root Brewing,Hamilton,MT
Saucy Intruder,Rye Beer,12,0.072,75,18,Black Acre Brewing Co.,Indianapolis,IN
Deception,American Blonde Ale,12,0.05%,16,112,Black Market Brewing Company,Temecula,CA
Blackmarket Rye IPA,American IPA,12,0.075,35,112,Black Market Brewing Company,Temecula,CA
Black Market Hefeweizen,Hefeweizen,12,0.05,8,112,Black Market Brewing Company,Temecula,CA
Aftermath Pale Ale,American Pale Ale (APA),16.9,0.058,44,112,Black Market Brewing Company,Temecula,CA
